K | Accuracy %
|:-- |:-- |
 0 | 0.9450 
 10 | 0.9330 
 20 | 0.9235 
 30 | 0.9150 
 40 | 0.9085 
 50 | 0.9015 
 60 | 0.8970 
 70 | 0.8925 
 80 | 0.8850 
 90 | 0.8810 
 100 | 0.8760 
 110 | 0.8720 
 120 | 0.8685 
 130 | 0.8660 
 140 | 0.8640 
 150 | 0.8560 
 160 | 0.8500 
 170 | 0.8435 
 180 | 0.8400 
 190 | 0.8345 
 200 | 0.8330 
 210 | 0.8320 
 220 | 0.8295 
 230 | 0.8275 
 240 | 0.8235 
 250 | 0.8215 
 260 | 0.8210 
 270 | 0.8185 
 280 | 0.8170 
 290 | 0.8140 
 300 | 0.8110 
 310 | 0.8085 
 320 | 0.8075 
 330 | 0.8050 
 340 | 0.8025 
 350 | 0.8000 
 360 | 0.7980 
 370 | 0.7945 
 380 | 0.7930 
 390 | 0.7920 
 400 | 0.7905 
 410 | 0.7870 
 420 | 0.7840 
 430 | 0.7820 
 440 | 0.7795 
 450 | 0.7770 
 460 | 0.7765 
 470 | 0.7740 
 480 | 0.7720 
 490 | 0.7705 
